一 eins
家 Haus
嫁 einheiraten
豪 grandios
腸 Gedärme
場 Ort
湯 Heißwasser
羊 Schaf
美 Schönheit
洋 Ozean
詳 detailliert
鮮 frisch
達 erlangen
羨 neidisch
差 Unterschied
着 anziehen
唯 bloß
焦 versengen
礁 Riff
集 sammeln
准 quasi-
進 Fortschritt
雑 diverse
雌 weiblich
準 semi-
奮 angeregt
奪 rauben
確 gewiss
午 Mittag
許 erlauben
歓 Freude
権 Autorität
観 Anschauung
羽 Feder
習 lernen
翌 folgender
曜 Wochentag
濯 spülen
曰 zu sagen pflegen
困 in Verlegenheit
固 hart
国 Land
団 Gruppe
因 Ursache
姻 Ehe
園 Park
回 x-mal
壇 Podium
店 Laden
庫 Lager
庭 Garten
庁 Ministerium
床 Bett
麻 Hanf
磨 polieren
心 Herz
忘 vergessen
忍 erdulden
認 anerkennen
忌 Trauer
志 Absicht
誌 Zeitschrift
忠 Treue
串 Fleischspieß
患 befallen
思 denken
恩 Gunst
応 erwidern
意 Wille
想 Idee
息 Atem
憩 Rast
恵 Gnade
恐 Furcht
惑 unsicher
感 Gefühl
憂 Trübsinn
寡 verwitwet
忙 beschäftigt
悦 Entzücken
恒 beständig
悼 beklagen
悟 Erleuchtung
怖 schrecklich
慌 überstürzt
悔 bereuen
憎 hassen
慣 Gewohnheit
愉 Vergnügen
惰 faul
慎 Bescheidenheit
憾 Bedauern
憶 Gedächtnis
慕 Sehnsucht
添 beifügen
必 zwangsläufig
泌 absondern
手 Hand
看 beobachten
摩 reiben
我 Ego
義 Gerechtigkeit
議 Besprechung
犠 Opfer
抹 streichen
抱 hegen
搭 einsteigen
抄 Auszug
抗 sich widersetzen
批 Kritik
招 herbeiwinken
拓 urbar machen
拍 klatschen
打 schlagen
拘 verhaften
捨 wegwerfen
拐 entführen
摘 Prise
挑 herausfordern
指 Finger
持 halten
括 zusammenbinden
揮 schwingen
推 vermuten
揚 hissen
提 vorlegen
損 Schaden
拾 auflesen
担 schultern
拠 Basis
描 zeichnen
操 steuern
接 berühren
掲 Aushang
掛 hängen
研 schleifen
戒 Gebot
械 Apparat
鼻 Nase
刑 Strafe
型 Gussform
才 Genie
財 Vermögen
材 Baumaterial
存 existieren
在 sein
乃 des
携 tragbar
及 sich erstrecken
吸 saugen
扱 behandeln
丈 Länge
史 Historie
吏 Beamter
更 spät werden
硬 starr
又 einmal mehr
双 Paar
桑 Maulbeerbaum
隻 Seefahrzeuge
護 schützen
獲 erbeuten
奴 Kerl
怒 wütend
友 Freund
抜 herausziehen
投 werfen
没 untergehen
設 einrichten
撃 Abschuss
殻 Hülse
支 Zweig
技 Technik
枝 Ast
肢 Gliedmaßen
茎 Stängel
怪 verdächtig
軽 leicht
叔 Onkel
督 Aufseher
寂 Einsamkeit
淑 anmutig
反 anti-
坂 Abhang
板 Brett
返 zurück
販 veräußern
爪 Kralle
妥 Kompromiss
乳 Milch
浮 dahintreiben
将 Kommandeur
奨 fördern
採 pflücken
菜 Gemüse
受 annehmen
授 Verleihung
愛 Liebe
払 bezahlen
広 breit
拡 erweitern
鉱 Mineral
弁 Klappe
雄 männlich
台 Sockel
怠 vernachlässigen
治 regieren
始 beginnen
